id,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,AST,REB,ALL_STAR_APPEARANCES,PIE,PTS
1261,Chris,Harris,Chris Harris,"Harris, Chris",C. Harris,chris-harris,1933-08-11T00:00:00,Dayton,USA,Dayton/USA,75.00,190.00,0,3,Guard,Inactive,N,1610612758,Royals,ROC,kings,Rochester,HISTADD_chris_harris,1955,1955,N,Y,Y,Undrafted,Undrafted,Undrafted,1.10,1.10,0.00,,3.54
1837,Sarunas,Jasikevicius,Sarunas Jasikevicius,"Jasikevicius, Sarunas",S. Jasikevicius,sarunas-jasikevicius,1976-03-05T00:00:00,Maryland,Lithuania,Maryland/Lithuania,,,2,,,Inactive,N,0,,,,,sarunas_jasikevicius,2005,2007,N,Y,Y,Undrafted,Undrafted,Undrafted,2.90,1.60,0.00,,7.84
1302,Claude,English,Claude English,"English, Claude",C. English,claude-english,1946-12-26T00:00:00,Rhode Island,USA,Rhode Island/USA,76.00,185.00,0,15,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_claude_english,1970,1970,N,Y,Y,1970,7,110,0.30,1.10,0.00,,2.54
379,John W.,Hazen,John W. Hazen,"Hazen, John W.",J. Hazen,john-w-hazen,1927-03-02T00:00:00,Indiana State,USA,Indiana State/USA,74.00,172.00,0,3-10,Guard,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_john_hazen,1948,1948,N,Y,Y,Undrafted,Undrafted,Undrafted,0.50,,0.00,,4.04
3743,Sam,Stith,Sam Stith,"Stith, Sam",S. Stith,sam-stith,1937-07-22T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,74.00,185.00,0,17,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_sam_stith,1961,1961,N,Y,Y,1960,8,56,1.90,1.60,0.00,,5.44
296,Jim,Reid,Jim Reid,"Reid, Jim",J. Reid,jim-reid,1945-08-03T00:00:00,Winston-Salem State,USA,Winston-Salem State/USA,78.00,210.00,0,12,Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_jim_reid,1967,1967,N,Y,Y,Undrafted,Undrafted,Undrafted,0.50,1.80,0.00,,4.54
4318,Chuck,Connors,Chuck Connors,"Connors, Chuck",C. Connors,chuck-connors,1921-04-10T00:00:00,Seton Hall,USA,Seton Hall/USA,77.00,190.00,1,11,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_chuck_connors,1946,1947,N,Y,Y,Undrafted,Undrafted,Undrafted,0.80,,0.00,,5.54
991,York,Larese,York Larese,"Larese, York",Y. Larese,york-larese,1938-07-18T00:00:00,North Carolina,USA,North Carolina/USA,76.00,183.00,0,34,Guard,Inactive,N,1610612744,Warriors,PHW,warriors,Philadelphia,HISTADD_york_larese,1961,1961,N,Y,Y,1961,2,20,1.60,1.30,0.00,,6.14
2223,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,83.00,243.00,3,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2020,N,Y,Y,2017,1,22,1.60,9.90,,0.15,13.94
1500,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,77.00,229.00,4,7,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,malcolm_brogdon,2016,2020,N,Y,Y,2016,2,36,6.10,4.70,,0.12,22.64
3893,Jamaal,Tinsley,Jamaal Tinsley,"Tinsley, Jamaal",J. Tinsley,jamaal-tinsley,1978-02-28T00:00:00,Iowa State,USA,Iowa State/USA,75.00,188.00,10,,Guard,Inactive,N,0,,,,,jamaal_tinsley,2001,2013,Y,Y,Y,2001,1,27,6.10,2.90,0.00,,9.54
919,Jonathan,Gibson,Jonathan Gibson,"Gibson, Jonathan",J. Gibson,jonathan-gibson,1987-11-08T00:00:00,New Mexico State,USA,New Mexico State/USA,74.00,185.00,3,3,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,jonathan_gibson,2016,2018,N,Y,Y,Undrafted,Undrafted,Undrafted,1.40,1.20,0.00,,7.74
4141,Trevor,Wilson,Trevor Wilson,"Wilson, Trevor",T. Wilson,trevor-wilson,1968-03-16T00:00:00,UCLA,USA,UCLA/USA,79.00,210.00,3,30,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,trevor_wilson,1990,1995,N,Y,Y,1990,2,36,1.00,3.40,0.00,,6.74
1672,Larry,Foust,Larry Foust,"Foust, Larry",L. Foust,larry-foust,1928-06-24T00:00:00,La Salle,USA,La Salle/USA,81.00,215.00,11,14,Center,Inactive,N,1610612765,Pistons,FTW,pistons,Ft. Wayne Zollner,HISTADD_larry_foust,1950,1961,N,Y,Y,1950,1,5,1.70,9.80,7.00,,14.74
718,Eddie,Miller,Eddie Miller,"Miller, Eddie",E. Miller,eddie-miller,1931-06-18T00:00:00,Syracuse,USA,Syracuse/USA,80.00,225.00,1,,Forward,Inactive,N,1610610024,Bullets,BAL,bullets,Baltimore,HISTADD_eddie_miller,1952,1953,N,Y,Y,1952,None,None,1.50,8.50,0.00,,11.24
294,Bill,Tosheff,Bill Tosheff,"Tosheff, Bill",B. Tosheff,bill-tosheff,1926-06-02T00:00:00,Indiana,USA,Indiana/USA,73.00,175.00,2,9,Guard,Inactive,N,1610610030,Olympians,INO,olympians,Indianapolis,HISTADD_bill_tosheff,1951,1953,N,Y,Y,1951,4,32,3.30,3.00,0.00,,10.24
107,Tyreke,Evans,Tyreke Evans,"Evans, Tyreke",T. Evans,tyreke-evans,1989-09-19T00:00:00,Memphis,USA,Memphis/USA,78.00,220.00,9,,Guard,Inactive,N,0,,,,,tyreke_evans,2009,2018,N,Y,Y,2009,1,4,4.80,4.60,0.00,,16.74
1446,Casper,Ware,Casper Ware,"Ware, Casper",C. Ware,casper-ware,1990-01-17T00:00:00,Long Beach State,USA,Long Beach State/USA,,,5,,,Inactive,N,0,,,,,casper_ware,2013,2017,N,Y,Y,Undrafted,Undrafted,Undrafted,1.10,1.00,0.00,,6.34
4036,Dennis,Bell,Dennis Bell,"Bell, Dennis",D. Bell,dennis-bell,1951-06-02T00:00:00,Drake,USA,Drake/USA,77.00,185.00,2,46,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_dennis_bell,1973,1975,N,Y,Y,1973,5,83,0.40,1.90,0.00,,3.84
236,Audie,Norris,Audie Norris,"Norris, Audie",A. Norris,audie-norris,1960-12-18T00:00:00,Jackson State,USA,Jackson State/USA,81.00,230.00,2,24,Center,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_audie_norris,1982,1984,N,Y,Y,1982,2,37,0.80,3.10,0.00,,5.44
3586,Rawle,Marshall,Rawle Marshall,"Marshall, Rawle",R. Marshall,rawle-marshall,1982-02-20T00:00:00,Oakland,USA,Oakland/USA,79.00,190.00,2,2,Guard-Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,rawle_marshall,2005,2006,Y,Y,Y,Undrafted,Undrafted,Undrafted,0.40,1.00,0.00,,3.74
1498,Thales,McReynolds,Thales McReynolds,"McReynolds, Thales",T. McReynolds,thales-mcreynolds,1943-06-08T00:00:00,Miles,USA,Miles/USA,75.00,185.00,0,11,Guard,Inactive,N,1610612764,Bullets,BLT,wizards,Baltimore,HISTADD_thales_mcreynolds,1965,1965,N,Y,Y,1965,11,82,0.20,1.20,0.00,,1.64
800,Delaney,Rudd,Delaney Rudd,"Rudd, Delaney",D. Rudd,delaney-rudd,1962-11-08T00:00:00,Wake Forest,USA,Wake Forest/USA,74.00,180.00,3,11,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_delaney_rudd,1989,1992,N,Y,Y,1985,4,83,2.20,0.80,0.00,,4.44
2122,Darius,Johnson-Odom,Darius Johnson-Odom,"Johnson-Odom, Darius",D. Johnson-Odom,darius-johnson-odom,1989-09-28T00:00:00,Marquette,USA,Marquette/USA,74.00,215.00,2,,Guard,Inactive,N,0,,,,,darius_johnson-odom,2012,2013,Y,Y,Y,2012,2,55,0.30,0.90,0.00,,1.04
3765,Joe,Bradley,Joe Bradley,"Bradley, Joe",J. Bradley,joe-bradley,1928-09-24T00:00:00,Oklahoma State,USA,Oklahoma State/USA,75.00,175.00,0,,Guard,Inactive,N,1610610025,Stags,CHS,stags,Chicago,HISTADD_joe_bradley,1949,1949,N,Y,Y,Undrafted,Undrafted,Undrafted,0.80,,0.00,,2.94
1832,Jarnell,Stokes,Jarnell Stokes,"Stokes, Jarnell",J. Stokes,jarnell-stokes,1994-01-07T00:00:00,Tennessee,USA,Tennessee/USA,81.00,255.00,3,,Forward-Center,Inactive,N,0,,,,,jarnell_stokes,2014,2016,Y,Y,Y,2014,2,35,0.30,1.40,0.00,,3.44
3214,Eric,Washington,Eric Washington,"Washington, Eric",E. Washington,eric-washington,1974-03-24T00:00:00,Alabama,USA,Alabama/USA,76.00,190.00,2,14,Forward-Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,eric_washington,1997,1998,N,Y,Y,1997,2,46,1.00,2.10,0.00,,7.94
3766,Eldo,Garrett,Eldo Garrett,"Garrett, Eldo",E. Garrett,eldo-garrett,1947-01-31T00:00:00,Southern Illinois,USA,Southern Illinois/USA,75.00,185.00,4,14,Guard,Inactive,N,1610612746,Braves,BUF,clippers,Buffalo,HISTADD_dick_garrett,1969,1973,N,Y,Y,1969,2,27,2.50,3.00,0.00,,11.34
3463,George,King,George King,"King, George",G. King,george-king,1928-08-16T00:00:00,University of Charleston,USA,University of Charleston/USA,72.00,175.00,5,15,Guard,Inactive,N,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_george_king,1951,1957,N,Y,Y,1950,8,None,4.80,3.90,0.00,,11.34
900,Eddie,Jordan,Eddie Jordan,"Jordan, Eddie",E. Jordan,eddie-jordan,1955-01-29T00:00:00,Rutgers,USA,Rutgers/USA,73.00,170.00,6,15,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_eddie_jordan,1977,1983,N,Y,Y,1977,2,33,3.80,1.90,0.00,,9.14
4171,Johnny,Newman,Johnny Newman,"Newman, Johnny",J. Newman,johnny-newman,1963-11-28T00:00:00,Richmond,USA,Richmond/USA,79.00,210.00,15,2,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,johnny_newman,1986,2001,N,Y,Y,1986,2,29,1.50,2.20,0.00,,12.04
158,Jeff,Sanders,Jeff Sanders,"Sanders, Jeff",J. Sanders,jeff-sanders,1966-01-14T00:00:00,Georgia Southern,USA,Georgia Southern/USA,80.00,225.00,3,34,Forward,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,jeff_sanders,1989,1992,N,Y,Y,1989,1,20,0.50,1.90,0.00,,3.04
3839,Ralph,Siewert,Ralph Siewert,"Siewert, Ralph",R. Siewert,ralph-siewert,1923-12-31T00:00:00,Dakota Wesleyan,USA,Dakota Wesleyan/USA,85.00,230.00,0,,Center,Inactive,N,1610610035,Huskies,HUS,huskies,Toronto,HISTADD_sky_siewert,1946,1946,N,Y,Y,Undrafted,Undrafted,Undrafted,0.20,,0.00,,2.04
2593,Hal,Lear,Hal Lear,"Lear, Hal",H. Lear,hal-lear,1935-01-31T00:00:00,Temple,USA,Temple/USA,71.00,163.00,0,16,Guard,Inactive,N,1610612744,Warriors,PHW,warriors,Philadelphia,HISTADD_king_lear,1956,1956,N,Y,Y,1956,1,7,0.30,0.30,0.00,,2.34
1107,Franklin,Edwards,Franklin Edwards,"Edwards, Franklin",F. Edwards,franklin-edwards,1959-02-02T00:00:00,Cleveland State,USA,Cleveland State/USA,73.00,170.00,6,10,Guard,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_franklin_edwards,1981,1987,N,Y,Y,1981,1,22,2.60,1.00,0.00,,7.14
2404,Miles,Simon,Miles Simon,"Simon, Miles",M. Simon,miles-simon,1975-11-21T00:00:00,Arizona,USA,Arizona/USA,75.00,202.00,1,32,Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,miles_simon,1998,2002,N,Y,Y,1998,2,42,0.00,0.40,0.00,,1.44
4164,Trevon,Duval,Trevon Duval,"Duval, Trevon",T. Duval,trevon-duval,1998-08-03T00:00:00,Duke,USA,Duke/USA,74.00,189.00,1,0,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,trevon_duval,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,0.70,0.30,0.00,,2.74
2044,Cedric,Bozeman,Cedric Bozeman,"Bozeman, Cedric",C. Bozeman,cedric-bozeman,1983-03-07T00:00:00,UCLA,USA,UCLA/USA,78.00,207.00,0,,Guard,Inactive,N,0,,,,,cedric_bozeman,2006,2006,Y,Y,Y,Undrafted,Undrafted,Undrafted,0.40,1.00,0.00,,2.14
3700,James,Hardy,James Hardy,"Hardy, James",J. Hardy,james-hardy,1956-12-01T00:00:00,San Francisco,USA,San Francisco/USA,80.00,220.00,3,11,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_james_hardy,1978,1981,N,Y,Y,1978,1,11,1.30,5.30,0.00,,6.74
1884,Danuel,House Jr.,Danuel House Jr.,"House Jr., Danuel",D. House Jr.,danuel-house-jr,1993-06-07T00:00:00,Texas A&M,USA,Texas A&M/USA,78.00,220.00,4,4,Forward-Guard,Active,Y,1610612745,Rockets,HOU,rockets,Houston,danuel_house,2016,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,2.00,4.00,,0.07,10.74
4010,Chris,Childs,Chris Childs,"Childs, Chris",C. Childs,chris-childs,1967-11-20T00:00:00,Boise State,USA,Boise State/USA,75.00,195.00,8,,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,chris_childs,1994,2002,N,Y,Y,Undrafted,Undrafted,Undrafted,4.90,2.40,0.00,,7.94
2207,Bob,Wilkerson,Bob Wilkerson,"Wilkerson, Bob",B. Wilkerson,bob-wilkerson,1954-08-15T00:00:00,Indiana,USA,Indiana/USA,78.00,195.00,6,33,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_bobby_wilkerson,1976,1982,N,Y,Y,1976,1,11,3.40,4.20,0.00,,11.14
4068,PJ,Dozier,PJ Dozier,"Dozier, PJ",P. Dozier,pj-dozier,1996-10-25T00:00:00,South Carolina,USA,South Carolina/USA,78.00,205.00,3,35,Guard-Forward,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,pj_dozier,2017,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,1.60,3.80,,0.09,8.74
1561,Marcus,Williams,Marcus Williams,"Williams, Marcus",M. Williams,marcus-williams,1985-12-03T00:00:00,Connecticut,USA,Connecticut/USA,75.00,205.00,4,5,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,marcus_williams,2006,2009,Y,Y,Y,2006,1,22,2.80,1.80,0.00,,6.64
2561,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21T00:00:00,Tennessee,Canada,Tennessee/Canada,82.00,216.00,1,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,0.00,1.50,0.00,,2.04
3006,Scott,Brooks,Scott Brooks,"Brooks, Scott",S. Brooks,scott-brooks,1965-07-31T00:00:00,California-Irvine,USA,California-Irvine/USA,71.00,165.00,9,2,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,scott_brooks,1988,1997,N,Y,Y,Undrafted,Undrafted,Undrafted,2.40,1.00,0.00,,5.94
3319,George,Brown,George Brown,"Brown, George",G. Brown,george-brown,1935-10-30T00:00:00,Wayne State,USA,Wayne State/USA,78.00,190.00,0, ,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_george_brown,1957,1957,N,Y,Y,1957,4,27,0.00,1.00,0.00,,2.04
1936,Lloyd,Walton,Lloyd Walton,"Walton, Lloyd",L. Walton,lloyd-walton,1953-11-23T00:00:00,Marquette,USA,Marquette/USA,72.00,160.00,4,11  12,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lloyd_walton,1976,1980,N,Y,Y,1976,3,40,3.60,1.10,0.00,,5.24
3974,Jeremy,Lamb,Jeremy Lamb,"Lamb, Jeremy",J. Lamb,jeremy-lamb,1992-05-30T00:00:00,Connecticut,USA,Connecticut/USA,77.00,180.00,8,26,Guard-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,jeremy_lamb,2012,2020,Y,Y,Y,2012,1,12,1.60,3.60,,0.10,12.14
2090,Vladimir,Radmanovic,Vladimir Radmanovic,"Radmanovic, Vladimir",V. Radmanovic,vladimir-radmanovic,1980-11-19T00:00:00,FMP,Serbia,FMP/Serbia,82.00,235.00,12,77,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,vladimir_radmanovic,2001,2012,N,Y,Y,2001,1,12,1.40,3.80,0.00,,9.04
3828,Mike,Flynn,Mike Flynn,"Flynn, Mike",M. Flynn,mike-flynn,1953-07-31T00:00:00,Kentucky,USA,Kentucky/USA,74.00,180.00,1,44,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_mike_flynn,1976,1977,N,Y,Y,1975,7,113,2.20,2.10,0.00,,7.24
731,Greg,Anderson,Greg Anderson,"Anderson, Greg",G. Anderson,greg-anderson,1964-06-22T00:00:00,Houston,USA,Houston/USA,82.00,250.00,9,0,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,greg_anderson,1987,1997,N,Y,Y,1987,1,23,0.60,6.20,0.00,,8.34
308,Greg,Howard,Greg Howard,"Howard, Greg",G. Howard,greg-howard,1948-01-08T00:00:00,New Mexico,USA,New Mexico/USA,81.00,215.00,1,40,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_stretch_howard,1970,1971,N,Y,Y,1970,1,10,0.60,2.50,0.00,,4.44
668,Dale,Schlueter,Dale Schlueter,"Schlueter, Dale",D. Schlueter,dale-schlueter,1945-11-12T00:00:00,Colorado State,USA,Colorado State/USA,82.00,225.00,9,54,Center,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_dale_schlueter,1968,1977,N,Y,Y,1967,6,63,1.60,5.20,0.00,,6.34
3835,Gerald,Green,Gerald Green,"Green, Gerald",G. Green,gerald-green,1986-01-26T00:00:00,No College,USA,No College/USA,79.00,205.00,12,14,Guard-Forward,Inactive,Y,1610612745,Rockets,HOU,rockets,Houston,gerald_green,2005,2018,Y,Y,Y,2005,1,18,0.90,2.50,0.00,,10.74
784,George A.,Pastushok,George A. Pastushok,"Pastushok, George A.",G. Pastushok,george-a-pastushok,1905-04-06T00:00:00,St. John's,USA,St. John's/USA,,,0,,,Inactive,N,1610610032,Steamrollers,PRO,steamrollers,Providence,HISTADD_george_pastushok,1946,1946,N,Y,Y,Undrafted,Undrafted,Undrafted,0.40,,0.00,,4.14
3419,Ron,Johnson,Ron Johnson,"Johnson, Ron",R. Johnson,ron-johnson,1938-07-20T00:00:00,Minnesota,USA,Minnesota/USA,80.00,215.00,0,52,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_ron_johnson,1960,1960,N,Y,Y,1960,2,12,0.10,2.10,0.00,,3.64
1166,Gary,Gregor,Gary Gregor,"Gregor, Gary",G. Gregor,gary-gregor,1945-08-13T00:00:00,South Carolina,USA,South Carolina/USA,79.00,225.00,4,9,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_gary_gregor,1968,1972,N,Y,Y,1968,1,8,1.50,7.00,0.00,,10.84
3824,Hasheem,Thabeet,Hasheem Thabeet,"Thabeet, Hasheem",H. Thabeet,hasheem-thabeet,1987-02-16T00:00:00,Connecticut,Tanzania,Connecticut/Tanzania,87.00,263.00,4,34,Center,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,hasheem_thabeet,2009,2013,Y,Y,Y,2009,1,2,0.10,2.70,0.00,,3.24
3887,Irv,Rothenberg,Irv Rothenberg,"Rothenberg, Irv",I. Rothenberg,irv-rothenberg,1921-12-31T00:00:00,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,79.00,215.00,2,3,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_irv_rothenberg,1946,1948,N,Y,Y,1947,None,None,0.70,,0.00,,6.44
1675,Anthony,Frederick,Anthony Frederick,"Frederick, Anthony",A. Frederick,anthony-frederick,1964-12-07T00:00:00,Pepperdine,USA,Pepperdine/USA,79.00,205.00,2,24,Forward,Inactive,N,1610612766,Hornets,CHH,hornets,Charlotte,HISTADD_anthony_frederick,1988,1991,N,Y,Y,1986,6,133,0.90,1.90,0.00,,5.94
2770,Jeff,Malone,Jeff Malone,"Malone, Jeff",J. Malone,jeff-malone,1961-06-28T00:00:00,Mississippi State,USA,Mississippi State/USA,76.00,205.00,12,,Guard,Inactive,N,0,,,,,jeff_malone,1983,1995,N,Y,Y,1983,1,10,2.40,2.60,2.00,,20.04
1742,Gary,Trent Jr.,Gary Trent Jr.,"Trent Jr., Gary",G. Trent Jr.,gary-trent-jr,1999-01-18T00:00:00,Duke,USA,Duke/USA,77.00,209.00,2,2,Guard-Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,gary_trent_jr,2018,2020,Y,Y,Y,2018,2,37,1.40,2.20,,0.07,16.04
3608,Forest,Able,Forest Able,"Able, Forest",F. Able,forest-able,1932-07-27T00:00:00,Western Kentucky,USA,Western Kentucky/USA,75.00,180.00,0,6,Guard,Inactive,N,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956,1956,N,Y,Y,1956,None,None,1.00,1.00,0.00,,1.04
3570,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27T00:00:00,Missouri State,USA,Missouri State/USA,74.00,190.00,3,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007,2011,Y,Y,Y,Undrafted,Undrafted,Undrafted,1.20,1.20,0.00,,5.64
4293,Wilson,Chandler,Wilson Chandler,"Chandler, Wilson",W. Chandler,wilson-chandler,1987-05-10T00:00:00,DePaul,USA,DePaul/USA,80.00,235.00,12,21,Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,wilson_chandler,2007,2019,N,Y,Y,2007,1,23,1.80,5.30,0.00,,13.54
