id,PTS
599,7.62
2680,5.95
1185,7.51
4195,9.06
1285,8.11
4389,8.63
1812,7.44
963,7.82
269,7.94
685,7.21
910,6.06
3926,7.52
1039,8.38
778,9.62
953,6.54
2292,4.83
60,6.96
2582,8.95
482,5.89
857,6.66
1393,6.30
1705,5.83
723,6.17
151,6.99
1181,7.17
382,5.96
1870,6.03
2250,8.69
3321,6.13
1806,7.22
3602,7.71
1030,5.33
1244,5.71
259,7.64
1531,7.41
3583,7.68
2237,7.33
274,7.48
368,9.22
2319,9.37
2034,7.46
410,7.48
3112,7.94
846,6.61
2926,5.22
2074,7.51
4232,6.12
2666,7.49
3646,7.04
1482,8.91
2932,6.57
4022,6.15
2781,6.54
1864,8.47
2255,7.15
2463,6.41
170,6.28
1290,4.95
3263,8.21
1210,6.53
509,9.37
3894,5.51
4352,6.62
2824,7.67
2288,6.76
2439,6.40
477,7.89
1207,8.25
1501,7.01
1622,7.63
2110,7.59
4307,6.93
242,7.73
2684,5.96
2143,6.65
3367,8.12
3815,6.17
4129,8.11
2516,6.89
2749,7.20
3547,7.77
503,7.20
2576,8.97
538,6.61
4432,6.79
1154,7.04
4077,6.60
757,6.67
2941,7.18
2285,6.29
3099,7.76
745,7.29
2296,7.14
2006,7.94
3092,8.12
4430,7.82
407,8.12
2792,7.61
1297,7.80
1432,8.85
1673,7.60
3254,8.85
4412,7.05
3232,7.09
2261,7.54
2118,5.60
1968,7.03
3297,8.03
1118,8.12
1153,7.23
3937,8.71
2677,9.38
2633,8.08
942,7.61
853,6.83
324,4.71
3187,8.42
1417,7.45
2586,6.23
1875,7.17
2627,8.26
1634,7.82
1873,7.05
3339,8.19
2115,6.53
911,7.25
712,8.34
1781,6.83
3680,9.88
1404,8.09
2844,6.48
3857,6.57
3923,8.39
2117,8.59
1292,6.75
3244,4.11
2549,7.70
2887,6.12
4112,8.39
250,7.65
1583,8.65
138,8.34
3059,7.95
3591,5.39
4021,6.62
1516,7.72
2856,7.73
2764,8.48
3378,5.73
4099,7.11
231,7.50
921,8.18
1441,6.12
2126,7.83
1211,5.77
3613,7.81
2274,7.96
1147,7.81
646,6.70
2979,6.73
4166,6.66
110,6.21
3007,10.47
1775,9.24
909,8.29
1316,8.38
1810,7.67
3709,6.77
4162,7.64
2281,7.59
2392,8.69
1976,6.12
1960,8.83
2625,8.08
3186,5.58
3981,6.78
3429,8.82
1425,7.02
4093,7.72
4191,7.30
52,6.55
1448,7.87
1980,7.64
1315,8.33
3811,6.62
2041,6.08
4334,8.65
139,7.64
510,8.71
4210,6.41
1502,9.29
342,7.41
2697,5.93
4139,7.49
546,7.30
2787,6.94
113,7.67
241,7.12
2091,7.95
2486,7.47
184,7.75
3632,6.12
1328,8.32
4153,6.51
3102,5.96
3242,6.07
279,4.48
420,6.53
490,7.81
4158,6.94
135,5.83
4472,6.87
2880,8.36
3114,7.61
4292,7.91
2331,6.54
961,6.63
624,8.65
602,7.42
535,7.84
719,5.03
1050,9.88
3172,7.67
4496,7.79
3820,6.17
984,8.48
3350,5.65
3084,8.79
986,6.08
1621,6.03
1407,8.17
2234,7.14
4410,7.43
3827,7.19
4046,7.22
571,7.55
347,5.48
1100,8.04
1257,7.03
1825,5.71
2649,6.53
793,7.56
570,6.95
941,7.94
1397,6.47
1264,6.62
3791,7.18
26,7.11
1349,6.72
3090,7.79
167,8.61
3020,8.27
328,8.66
699,7.41
4276,7.21
4342,7.84
4289,5.78
154,8.26
987,5.66
43,7.46
2434,9.29
3595,8.21
4082,7.88
2958,6.93
172,8.13
3624,6.22
4214,7.62
1688,6.87
218,7.33
1591,7.60
2849,5.88
4328,7.40
235,9.08
1343,8.42
3802,7.03
1239,7.37
3275,7.86
3695,7.83
1,7.93
1493,6.79
1858,8.55
4464,7.31
1169,7.36
3697,7.99
4266,7.90
1139,9.34
1750,6.48
4007,7.90
4280,8.26
3775,6.74
2290,7.73
2129,7.45
2175,7.19
2061,8.50
2195,7.71
3008,8.06
1696,7.12
4175,6.84
375,7.73
3388,8.32
650,7.75
2298,5.81
2643,8.26
1258,8.25
2942,8.37
3030,7.91
1223,7.18
2259,7.41
4069,7.76
3778,7.79
3989,8.31
2826,6.00
2718,6.80
2894,7.65
507,7.80
1142,7.62
3395,6.94
2498,7.80
1371,7.48
3194,7.37
4344,5.47
1406,7.33
3077,6.90
216,7.96
3579,6.79
934,7.10
1005,8.05
2146,7.08
4253,6.82
1374,7.02
3221,8.80
3879,6.74
588,7.65
4140,7.71
890,7.96
1129,6.67
3405,8.69
4132,5.88
1152,7.08
1890,6.10
1046,6.94
1172,6.82
3138,8.30
3990,7.55
4335,7.52
4144,8.19
2448,6.41
579,7.29
3957,7.30
1156,6.77
3657,6.53
756,7.99
2663,8.66
971,8.57
51,6.01
2903,6.70
1044,7.65
2952,4.07
1974,9.20
586,8.87
2852,8.89
2848,6.88
1089,8.61
2491,7.55
4396,7.99
1541,6.27
2885,6.57
2386,6.07
1286,6.69
2546,6.01
2642,7.74
3391,6.43
3322,7.31
188,7.00
1519,7.73
40,7.13
1802,5.58
3572,5.52
3737,7.49
2733,9.22
3234,7.32
4221,8.51
4030,6.85
3262,5.93
173,7.47
2921,6.37
290,6.91
2262,8.45
4247,6.86
1569,7.33
4415,8.88
2111,8.80
1879,9.18
901,5.88
3365,7.68
1659,7.70
1959,9.03
4433,7.59
2419,8.19
992,7.60
3938,6.83
3163,5.79
1670,8.49
3251,7.20
2846,8.36
4267,8.46
2411,7.11
3178,7.06
2927,10.01
2248,8.60
693,7.25
2302,7.86
3087,7.13
1418,6.67
3157,6.89
445,7.65
4272,5.83
868,7.23
603,7.46
88,5.48
1617,7.65
629,7.09
2490,8.22
3252,8.44
698,8.80
3521,6.40
3512,8.16
860,6.29
3124,7.15
1848,6.06
2732,6.51
4259,7.50
2142,7.33
3304,6.00
2120,6.89
271,6.74
3134,7.44
815,7.24
1721,7.89
4387,7.01
4183,7.63
4331,8.12
1083,7.96
787,6.01
3952,9.54
1679,8.32
1168,7.67
2085,7.88
4263,8.08
1515,7.87
1637,6.39
670,7.36
2082,6.19
1724,5.85
3396,7.16
2220,4.76
3641,5.52
2095,6.94
469,7.68
4230,7.97
4312,7.94
3509,9.04
1524,6.54
982,6.59
3318,7.67
2218,6.87
1013,7.24
3935,8.18
549,6.47
1685,7.35
3047,8.26
2291,7.37
3428,7.26
1719,9.23
4397,7.32
293,7.07
2447,7.59
2632,8.89
1916,8.00
4404,8.46
1697,7.36
4004,7.07
540,7.95
2075,5.82
